Method,Growth,Prune Rate,Update Frequency,Final Prune Epoch,::,train_acc,val_acc,test_acc,train_time,test_time
GraNet, gradient, 0.5, 100, 110, :::,   0.4138, 0.5254, 0.4054,1.1557, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.4138, 0.5254, 0.4054,0.7969, 0.0014
GraNet, gradient, 0.5, 100, 110, :::,   0.8506, 0.5424, 0.3243,0.8207, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.9770, 0.5424, 0.5135,1.1813, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.4138, 0.5254, 0.4054,0.7991, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.8506, 0.5424, 0.3243,0.8149, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.4138, 0.5254, 0.4054,1.1672, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.4138, 0.5254, 0.4054,0.8052, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.8506, 0.5424, 0.3243,0.8293, 0.0014
GraNet, gradient, 0.5, 100, 110, :::,   0.4138, 0.5254, 0.4054,1.1634, 0.0013
GraNet, gradient, 0.5, 100, 110, :::,   0.4138, 0.5254, 0.4054,0.8043, 0.0014
GraNet, gradient, 0.5, 100, 110, :::,   0.8506, 0.5424, 0.3243,0.8140, 0.0013
GraNet, gradient, 0.2, 100, 110, :::,   0.9770, 0.5424, 0.5135,1.3380, 0.0013
GraNet, gradient, 0.2, 100, 110, :::,   0.4138, 0.5254, 0.4054,0.8067, 0.0013
GraNet, gradient, 0.2, 100, 110, :::,   0.8506, 0.5424, 0.3243,0.8255, 0.0013
GraNet, gradient, 0.8, 100, 110, :::,   0.9770, 0.5424, 0.5135,1.1751, 0.0013
GraNet, gradient, 0.8, 100, 110, :::,   0.4138, 0.5254, 0.4054,0.8061, 0.0014
GraNet, gradient, 0.8, 100, 110, :::,   0.8506, 0.5424, 0.3243,0.8150, 0.0013
