dataset,status,backend,num_nodes,num_directed_edges,num_undirected_edges,er_compute_seconds,finalize_seconds,wall_seconds,artifact,error
citeseer,complete,laplacians,3327,9104,4552,1.846048126,0.005524244,95.27903607906774,/rcfs/scratch/dass304/EDSparse/data/Planetoid/CiteSeer/spectral_sparsification/effective_resistance_directed.npz,
pubmed,complete,laplacians,19717,88648,44324,1.056472432,0.0041241,88.36609639180824,/rcfs/scratch/dass304/EDSparse/data/Planetoid/PubMed/spectral_sparsification/effective_resistance_directed.npz,
amazon-computer,complete,laplacians,13752,491722,245861,2.345619967,0.008312134,90.16562487883493,/rcfs/scratch/dass304/EDSparse/data/Amazon/Computers/spectral_sparsification/effective_resistance_directed.npz,
amazon-photo,complete,laplacians,7650,238162,119081,2.034283686,0.007578623,89.49118014983833,/rcfs/scratch/dass304/EDSparse/data/Amazon/Photo/spectral_sparsification/effective_resistance_directed.npz,
coauthor-cs,complete,laplacians,18333,163788,81894,1.301957761,0.006394144,88.53203322878107,/rcfs/scratch/dass304/EDSparse/data/Coauthor/CS/spectral_sparsification/effective_resistance_directed.npz,
coauthor-physics,complete,laplacians,34493,495924,247962,1.646719643,0.007163023,88.89314161473885,/rcfs/scratch/dass304/EDSparse/data/Coauthor/Physics/spectral_sparsification/effective_resistance_directed.npz,
wikics,complete,laplacians,11701,431726,215603,2.22518997,0.017894132,89.66458042291924,/rcfs/scratch/dass304/EDSparse/data/wikics/spectral_sparsification/effective_resistance_directed.npz,
squirrel,complete,laplacians,2223,46998,46998,0.974361053,0.004303813,88.60676705604419,/rcfs/scratch/dass304/EDSparse/data/geom-gcn/squirrel/spectral_sparsification/effective_resistance_directed.npz,
chameleon,complete,laplacians,890,8854,8854,1.22825028,0.009722586,89.86519466387108,/rcfs/scratch/dass304/EDSparse/data/geom-gcn/chameleon/spectral_sparsification/effective_resistance_directed.npz,
roman-empire,complete,laplacians,22662,65854,32927,1.055893339,0.005742621,93.14585336716846,/rcfs/scratch/dass304/EDSparse/data/Heterophilous/roman_empire/spectral_sparsification/effective_resistance_directed.npz,
amazon-ratings,complete,laplacians,24492,186100,93050,1.424071673,0.010096518,89.57052874285728,/rcfs/scratch/dass304/EDSparse/data/Heterophilous/amazon_ratings/spectral_sparsification/effective_resistance_directed.npz,
minesweeper,complete,laplacians,10000,78804,39402,1.091025441,0.00339835,91.01080507598817,/rcfs/scratch/dass304/EDSparse/data/Heterophilous/minesweeper/spectral_sparsification/effective_resistance_directed.npz,
questions,complete,laplacians,48921,307080,153540,1.372691962,0.011707195,88.52950019296259,/rcfs/scratch/dass304/EDSparse/data/Heterophilous/questions/spectral_sparsification/effective_resistance_directed.npz,
